game_id,play_id,desc,penalty_accepted,decision_team,down,ydstogo,yardline_100,decline_down,decline_ydstogo,decline_yardline_100,decline_pred,accept_down,accept_ydstogo,accept_yardline_100,accept_pred,correct_call,diff
2022_12_BUF_DET,2943,"(1:18) (Shotgun) 17-J.Allen pass incomplete deep right to 14-S.Diggs. Penalty on BUF-75-G.Van Roten, Offensive Holding, declined.",FALSE,Defense,3,10,80,4,10,80,0.13200407452848265,1,10,70,0.7296322917708055,TRUE,0.5976282172423228
2022_10_DET_CHI,3636,"(1:55) (Shotgun) 1-J.Fields pass incomplete deep right to 32-D.Montgomery (49-C.Board). PENALTY on DET-31-K.Joseph, Defensive Holding, 5 yards, enforced at CHI 25 - No Play.",TRUE,Offense,3,5,75,4,5,75,0.25643692167075505,1,10,70,0.7296322917708055,TRUE,0.4731953701000504
2022_19_MIA_BUF,4345,"(7:01) (Shotgun) 17-J.Allen pass deep left to 10-K.Shakir to 50 for 31 yards (28-K.Kohou). Penalty on MIA-25-X.Howard, Defensive Holding, declined.",FALSE,Offense,3,1,81,1,10,50,0.7260623787582833,1,10,71,0.7298100167615643,FALSE,0.0037476380032810397
2022_10_JAX_KC,1633,"(2:07) (Shotgun) 15-P.Mahomes pass incomplete deep right to 11-M.Valdes-Scantling (5-A.Cisco). PENALTY on JAX-37-T.Herndon, Defensive Holding, 5 yards, enforced at KC 23 - No Play.",TRUE,Offense,3,1,77,4,1,77,0.40031866080772366,1,10,72,0.7299876681592371,TRUE,0.32966900735151344
2022_14_HOU_DAL,3156,"(12:22) (Shotgun) 4-D.Prescott pass incomplete short right to 21-E.Elliott (36-J.Owens). Penalty on DAL-73-Ty.Smith, Offensive Holding, declined.",FALSE,Defense,3,4,82,4,4,82,0.29036637873380505,1,10,73,0.7301652459374429,TRUE,0.43979886720363787
2022_03_DAL_NYG,276,"(10:51) (No Huddle, Shotgun) 8-D.Jones pass incomplete short left to 26-S.Barkley [90-D.Lawrence]. PENALTY on DAL-42-A.Barr, Defensive Holding, 5 yards, enforced at NYG 19 - No Play.",TRUE,Offense,3,3,81,4,3,81,0.32522794294582336,1,10,76,0.7306975372926715,TRUE,0.40546959434684815
2022_18_ARI_SF,3242,"(8:27) (Shotgun) 19-T.McSorley pass short left to 22-T.Williams to ARI 20 for 5 yards (38-D.Lenoir; 51-A.Al-Shaair). Penalty on ARI-68-K.Beachum, Offensive Holding, declined. 6 YAC",FALSE,Defense,3,7,85,4,2,80,0.3621390699430999,1,10,78,0.7310520296188409,TRUE,0.36891295967574095
2022_17_CAR_TB,2535,"(4:49) (Shotgun) 12-T.Brady pass short left to 17-R.Gage to CAR 10 for 5 yards (98-M.Haynes). Penalty on CAR-25-X.Woods, Defensive Holding, declined.",FALSE,Offense,4,2,15,1,10,10,0.7188351635356695,1,10,8,0.7184707696906913,TRUE,3.643938449781059e-4
2022_14_PHI_NYG,1555,"(4:38) (No Huddle, Shotgun) 1-J.Hurts sacked at PHI 2 for -11 yards (51-A.Ojulari). Penalty on PHI-68-J.Mailata, Offensive Holding, declined.",FALSE,Defense,3,5,87,4,16,98,0.054419273510234276,1,10,81,0.7315832147234698,TRUE,0.6771639412132355
2022_10_HOU_NYG,1578,"(1:50) (Shotgun) 8-D.Jones pass incomplete short left to 86-D.Slayton. PENALTY on HOU-25-D.King, Defensive Holding, 5 yards, enforced at NYG 11 - No Play.",TRUE,Offense,3,2,89,4,2,89,0.36401452588961375,1,10,84,0.7321137351495413,TRUE,0.3680992092599275
2022_01_JAX_WAS,3876,"(6:20) (Shotgun) 11-C.Wentz pass incomplete short middle to 10-C.Samuel (23-F.Oluokun). PENALTY on JAX-23-F.Oluokun, Defensive Holding, 5 yards, enforced at WAS 5 - No Play.",TRUE,Offense,1,15,95,2,15,95,0.3165416246973387,1,10,90,0.733172779220219,TRUE,0.41663115452288024
