desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(3:05) (Shotgun) 1-T.Etienne right end to WAS 26 for 3 yards (52-J.Davis; 92-D.Wise). WAS-22-D.Forrest was injured during the play.  PENALTY on JAX-79-L.Fortner, Offensive Holding, 10 yards, enforced at WAS 29 - No Play.",1,10,29,-10,TRUE,Offensive Holding
"(1:16) (Shotgun) 11-C.Wentz pass deep middle intended for 10-C.Samuel INTERCEPTED by 31-D.Williams at JAX 27. 31-D.Williams to JAX 27 for no gain (10-C.Samuel). PENALTY on JAX-95-R.Robertson-Harris, Defensive Offside, 5 yards, enforced at WAS 25 - No Play.",1,10,75,5,TRUE,Defensive Offside
"(13:00) 16-T.Lawrence pass incomplete short middle [95-C.Toohill]. PENALTY on JAX-16-T.Lawrence, Intentional Grounding, 12 yards, enforced at WAS 31. Washington challenged the forward pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,10,31,-12,TRUE,Intentional Grounding
"(Pass formation) TWO-POINT CONVERSION ATTEMPT. 11-C.Wentz is sacked. ATTEMPT FAILS. Penalty on WAS-68-A.Norwell, Illegal Use of Hands, declined.",NA,0,2,NA,FALSE,NA
"(6:48) (Shotgun) 11-C.Wentz pass short middle to 10-C.Samuel to WAS 22 for 12 yards (2-R.Jenkins; 31-D.Williams). PENALTY on WAS-68-A.Norwell, Illegal Use of Hands, 5 yards, enforced at WAS 10 - No Play.",1,10,90,-5,TRUE,Illegal Use of Hands
"(6:20) (Shotgun) 11-C.Wentz pass incomplete short middle to 10-C.Samuel (23-F.Oluokun). PENALTY on JAX-23-F.Oluokun, Defensive Holding, 5 yards, enforced at WAS 5 - No Play.",1,15,95,5,TRUE,Defensive Holding
"(1:34) (Shotgun) 16-T.Lawrence pass incomplete short middle to 17-E.Engram. PENALTY on WAS-20-B.McCain, Defensive Pass Interference, 12 yards, enforced at JAX 33 - No Play.",2,2,67,12,TRUE,Defensive Pass Interference
"(1:30) (Shotgun) PENALTY on JAX-72-W.Little, False Start, 5 yards, enforced at JAX 45 - No Play.",1,10,55,-5,TRUE,False Start
"(1:00) (Shotgun) PENALTY on JAX-94-F.Fatukasi, Neutral Zone Infraction, 5 yards, enforced at WAS 33 - No Play.",3,3,67,5,TRUE,Neutral Zone Infraction
"(9:37) (Shotgun) 1-K.Murray right end to ARI 24 for -1 yards (32-N.Bolton). Penalty on ARI, Illegal Shift, declined.",1,10,75,NA,FALSE,NA
"(8:01) 14-A.Lee punts 52 yards to KC 21, Center-46-A.Brewer. 17-M.Hardman ran ob at 50 for 29 yards (89-S.Anderson). PENALTY on KC-26-D.Bush, Illegal Block Above the Waist, 10 yards, enforced at KC 24.",4,8,73,10,TRUE,Illegal Block Above the Waist
"(7:07) (Shotgun) 15-P.Mahomes pass incomplete deep left to 9-J.Smith-Schuster. PENALTY on ARI-94-Z.Allen, Roughing the Passer, 15 yards, enforced at KC 17 - No Play. Penalty on ARI-94-Z.Allen, Defensive Offside, declined.",2,7,83,15,FALSE,Roughing the Passer
"(4:25) (Shotgun) 25-C.Edwards-Helaire up the middle to ARI 18 for 1 yard (90-R.Lawrence, 25-Z.Collins). PENALTY on ARI-93-J.Ledbetter, Defensive Offside, 5 yards, enforced at ARI 19 - No Play.",2,3,19,5,TRUE,Defensive Offside
"(10:34) (Shotgun) 15-P.Mahomes pass short right to 17-M.Hardman pushed ob at ARI 41 for 8 yards (7-B.Murphy). PENALTY on ARI-34-J.Thompson, Unnecessary Roughness, 15 yards, enforced at ARI 41.",3,2,49,15,TRUE,Unnecessary Roughness
"(13:56) (No Huddle, Shotgun) PENALTY on ARI-68-K.Beachum, False Start, 5 yards, enforced at ARI 37 - No Play.",1,10,63,-5,TRUE,False Start
"(10:07) (Shotgun) 15-P.Mahomes pass incomplete short left to 11-M.Valdes-Scantling [94-Z.Allen]. PENALTY on ARI-20-M.Wilson, Defensive Pass Interference, 9 yards, enforced at ARI 10 - No Play.",1,10,10,9,TRUE,Defensive Pass Interference
"(5:14) (Shotgun) 15-P.Mahomes pass short left to 88-J.Fortson to ARI 3 for 4 yards (25-Z.Collins; 93-J.Ledbetter). PENALTY on KC-52-C.Humphrey, Ineligible Downfield Pass, 5 yards, enforced at ARI 7 - No Play.",2,3,7,-5,TRUE,Ineligible Downfield Pass
"5-M.Prater kicks 67 yards from ARI 35 to KC -2. 10-I.Pacheco to KC 30 for 32 yards (29-J.Ward). PENALTY on KC-47-D.Harris, Offensive Holding, 10 yards, enforced at KC 20.",NA,0,35,-10,TRUE,Offensive Holding
"(10:08) (Shotgun) 10-J.Herbert scrambles up the middle to LV 2 for 3 yards (39-N.Hobbs). PENALTY on LV-39-N.Hobbs, Unnecessary Roughness, 1 yard, enforced at LV 2.",3,4,5,NA,TRUE,Unnecessary Roughness
"(7:33) (Shotgun) 4-D.Carr sacked at LV 41 for -7 yards (52-K.Mack). Penalty on LV-76-J.Simpson, Offensive Holding, declined.",3,7,52,NA,FALSE,NA
"(5:49) 10-J.Herbert scrambles right end to LAC 32 for 12 yards (24-J.Abram, 52-D.Perryman). PENALTY on LAC-88-T.McKitty, Offensive Holding, 10 yards, enforced at LAC 20 - No Play.",1,10,80,-10,TRUE,Offensive Holding
"(2:29) PENALTY on LAC-7-G.Everett, False Start, 5 yards, enforced at LV 34 - No Play.",2,7,34,-5,TRUE,False Start
"(2:18) (Shotgun) PENALTY on LV-77-T.Munford, False Start, 5 yards, enforced at LAC 35 - No Play.",2,20,35,-5,TRUE,False Start
"(12:33) (Shotgun) PENALTY on LAC-71-M.Feiler, False Start, 0 yards, enforced at LAC 1 - No Play.",3,11,99,0,TRUE,False Start
"TWO-POINT CONVERSION ATTEMPT. 4-D.Carr pass to 17-D.Adams is incomplete. ATTEMPT FAILS. PENALTY on LAC-43-M.Davis, Defensive Pass Interference, 1 yard, enforced at LAC 2 - No Play.",NA,0,2,NA,TRUE,Defensive Pass Interference
"(Pass formation) PENALTY on LV-72-J.Eluemunor, False Start, 5 yards, enforced at LAC 1 - No Play.",NA,0,1,-5,TRUE,False Start
"(:58) 10-J.Herbert kneels to LV 18 for -1 yards. PENALTY on LAC, Illegal Formation, 5 yards, enforced at LV 17 - No Play.",1,10,17,-5,TRUE,Illegal Formation
"(6:48) (Run formation) PENALTY on NE-98-Ca.Davis, Neutral Zone Infraction, 5 yards, enforced at 50 - No Play.",4,1,50,5,TRUE,Neutral Zone Infraction
"(1:48) (Shotgun) PENALTY on NE-85-H.Henry, False Start, 5 yards, enforced at NE 48 - No Play.",3,6,52,-5,TRUE,False Start
"(2:04) (No Huddle) PENALTY on MIA-88-M.Gesicki, False Start, 5 yards, enforced at MIA 34 - No Play.",1,10,66,-5,TRUE,False Start
"(9:07) (No Huddle, Shotgun) PENALTY on MIA, Defensive Too Many Men on Field, 5 yards, enforced at MIA 42 - No Play.",2,4,42,5,TRUE,Defensive Too Many Men on Field
"(7:04) (Shotgun) 10-M.Jones pass incomplete deep middle to 1-D.Parker. PENALTY on MIA-25-X.Howard, Illegal Contact, 5 yards, enforced at MIA 28 - No Play.",4,1,28,5,TRUE,Illegal Contact
"(13:05) (Shotgun) 10-M.Jones pass incomplete deep right to 81-J.Smith. Penalty on MIA-8-J.Holland, Roughing the Passer, offsetting, enforced at NE 42 - No Play. Penalty on NE-14-T.Montgomery, Chop Block, offsetting.",3,6,58,NA,TRUE,NA
"(9:46) (Shotgun) 10-M.Jones pass incomplete deep middle to 85-H.Henry (28-K.Kohou). Penalty on NE-77-T.Brown, Offensive Holding, declined.",4,3,50,NA,FALSE,NA
"(6:06) (Punt formation) PENALTY on MIA, Delay of Game, 5 yards, enforced at NE 41 - No Play.",4,15,41,-5,TRUE,Delay of Game
"(1:05) 31-R.Mostert left guard to NE 13 for 3 yards (2-J.Mills; 30-M.Wilson). PENALTY on NE, Defensive Too Many Men on Field, 5 yards, enforced at NE 16 - No Play.",3,2,16,5,TRUE,Defensive Too Many Men on Field
"(10:54) (Shotgun) 1-M.Mariota pass incomplete deep right to 5-D.London. Penalty on ATL-67-D.Dalman, Ineligible Downfield Pass, declined.",3,5,35,NA,FALSE,NA
"(Kick formation) PENALTY on NO, Delay of Game, 5 yards, enforced at ATL 15 - No Play.",NA,0,15,-5,TRUE,Delay of Game
